测试,#genre#
特辑影院,http://epg.112114.xyz/douyu/3637778
贝爷MAX厅,http://epg.112114.xyz/douyu/4332
漫威影片,http://epg.112114.xyz/douyu/6140589
周星驰电影,http://epg.112114.xyz/douyu/3990812
刘德华电影1,http://epg.112114.xyz/douyu/2516864
刘德华电影2,http://epg.112114.xyz/douyu/8985415
喜剧经典,http://epg.112114.xyz/douyu/9650887
豆瓣高分,http://epg.112114.xyz/douyu/8770422
林正英电影1,http://epg.112114.xyz/douyu/218859
林正英电影2,http://epg.112114.xyz/douyu/7356023
女神金电影,http://epg.112114.xyz/douyu/747764
贝爷影厅1,http://epg.112114.xyz/douyu/252802
贝爷影厅2,http://epg.112114.xyz/douyu/36337
霍格影片,http://epg.112114.xyz/douyu/8814650
可乐电影,http://epg.112114.xyz/douyu/20415
冰冰经典电影,http://epg.112114.xyz/douyu/74374
奶虫恐怖电影,http://epg.112114.xyz/douyu/263824
奶瓶科幻片,http://epg.112114.xyz/douyu/6655271
避风港影院,http://epg.112114.xyz/douyu/9826611
林林影院,http://epg.112114.xyz/douyu/9652323
漫威电影,http://epg.112114.xyz/douyu/4282654
恐怖经典,http://epg.112114.xyz/douyu/1165374
变种人电影,http://epg.112114.xyz/douyu/9651304
华语电影,http://epg.112114.xyz/douyu/3928
华语动作电影,http://epg.112114.xyz/douyu/1504768
怀旧90,http://epg.112114.xyz/douyu/9275635
国产影片,http://epg.112114.xyz/douyu/5423
麓山迷踪,http://epg.112114.xyz/douyu/4505431
高帧影片,http://epg.112114.xyz/douyu/6763930
米娅电影,http://epg.112114.xyz/douyu/6537888
小九电影,http://epg.112114.xyz/douyu/7136517
斗鱼電影7,http://epg.112114.xyz/douyu/3637726
斗鱼電影8,http://epg.112114.xyz/douyu/323876
斗鱼电影10,http://epg.112114.xyz/douyu/2935323
斗鱼電影11,http://epg.112114.xyz/douyu/7459925
斗鱼電影16,http://epg.112114.xyz/douyu/431460
斗鱼電影18,http://epg.112114.xyz/douyu/4246519
斗鱼電影19,http://epg.112114.xyz/douyu/7116591
斗鱼電影21,http://epg.112114.xyz/douyu/6776615
斗鱼電影22,http://epg.112114.xyz/douyu/1979257
斗鱼電影23,http://epg.112114.xyz/douyu/7494871
斗鱼電影26,http://epg.112114.xyz/douyu/8413092
斗鱼電影35,http://epg.112114.xyz/douyu/248753
斗鱼電影71,http://epg.112114.xyz/douyu/2987100
斗鱼電影77,http://epg.112114.xyz/douyu/2758565
斗鱼電影79,http://epg.112114.xyz/douyu/805235
斗鱼電影81,http://epg.112114.xyz/douyu/3870925
斗鱼電影94,http://epg.112114.xyz/douyu/4396972
斗鱼電影95,http://epg.112114.xyz/douyu/4549169
斗鱼電影97,http://epg.112114.xyz/douyu/8867878
斗鱼電影105,http://epg.112114.xyz/douyu/4290711
斗鱼電影108,http://epg.112114.xyz/douyu/6566671
斗鱼電影111,http://epg.112114.xyz/douyu/8475821
斗鱼電影117,http://epg.112114.xyz/douyu/338759
斗鱼電影124,http://epg.112114.xyz/douyu/2793084
斗鱼電影125,http://epg.112114.xyz/douyu/5067952
斗鱼電影128,http://epg.112114.xyz/douyu/675072
斗鱼電影129,http://epg.112114.xyz/douyu/413573
斗鱼電影134,http://epg.112114.xyz/douyu/6725858
斗鱼電影135,http://epg.112114.xyz/douyu/7476264
斗鱼電影136,http://epg.112114.xyz/douyu/5689514
斗鱼電影141,http://epg.112114.xyz/douyu/7623292
斗鱼電影145,http://epg.112114.xyz/douyu/5033502
斗鱼電影151,http://epg.112114.xyz/douyu/426517
斗鱼電影153,http://epg.112114.xyz/douyu/8799435
斗鱼電影155,http://epg.112114.xyz/douyu/4258555
斗鱼電影165,http://epg.112114.xyz/douyu/8705754
斗鱼電影166,http://epg.112114.xyz/douyu/5581257
斗鱼電影169,http://epg.112114.xyz/douyu/7528160
斗鱼电影90,http://epg.112114.xyz/douyu/6785471
斗鱼电影92,http://epg.112114.xyz/douyu/7537296
斗鱼电影110,http://epg.112114.xyz/douyu/8415464
斗鱼电影113,http://epg.112114.xyz/douyu/5522351
斗鱼电影114,http://epg.112114.xyz/douyu/562225
斗鱼电影115,http://epg.112114.xyz/douyu/223521
斗鱼电影116,http://epg.112114.xyz/douyu/8651489
斗鱼电影118,http://epg.112114.xyz/douyu/4631599
斗鱼电影120,http://epg.112114.xyz/douyu/5354713
斗鱼电影122,http://epg.112114.xyz/douyu/3485629
斗鱼电影130,http://epg.112114.xyz/douyu/8014467
斗鱼电影137,http://epg.112114.xyz/douyu/1274132
斗鱼电影149,http://epg.112114.xyz/douyu/6582435
斗鱼电影150,http://epg.112114.xyz/douyu/3980787
斗鱼电影158,http://epg.112114.xyz/douyu/8788687
斗鱼电影168,http://epg.112114.xyz/douyu/6861249

周星驰,http://txtest-xp2p.p2p.huya.com/src/1394575534-1394575534-5989656310331736064-2789274524-10057-A-0-1.xs
吴孟达,http://txtest-xp2p.p2p.huya.com/src/1388457235-1388457235-5963378416219586560-2777037926-10057-A-0-1.xs
林正英,http://txtest-xp2p.p2p.huya.com/src/1394575543-1394575543-5989656348986441728-2789274542-10057-A-0-1.xs
沈腾,http://txtest-xp2p.p2p.huya.com/src/1524418085-1524418085-6547325820505948160-3048959626-10057-A-0-1.xs
甄子丹,http://txtest-xp2p.p2p.huya.com/src/1423787820-1423787820-6115122123343134720-2847699096-10057-A-0-1.xs
成龙,http://txtest-xp2p.p2p.huya.com/src/1394565191-1394565191-5989611887484993536-2789253838-10057-A-0-1.xs
李连杰,http://txtest-xp2p.p2p.huya.com/src/1394565196-1394565196-5989611908959830016-2789253848-10057-A-0-1.xs
周润发,http://txtest-xp2p.p2p.huya.com/src/1394565192-1394565192-5989611891779960832-2789253840-10057-A-0-1.xs
刘德华,http://txtest-xp2p.p2p.huya.com/src/1394575547-1394575547-5989656366166310912-2789274550-10057-A-0-1.xs
洪金宝,http://txtest-xp2p.p2p.huya.com/src/73821423-73821423-317060597529182208-2710090468-10057-A-0-1.xs
黄渤,http://txtest-xp2p.p2p.huya.com/src/1449698962-1449698962-6226409630835146752-2789274564-10057-A-0-1.xs
刘家辉,http://txtest-xp2p.p2p.huya.com/src/1449584124-1449584124-6225916405380808704-2847687586-10057-A-0-1.xs
咏春系列,http://txtest-xp2p.p2p.huya.com/src/1448737814-1448737814-6222281531608530944-2777037662-10057-A-0-1.xs
黑帮系列,http://txtest-xp2p.p2p.huya.com/src/1388472589-1388472589-5963444361147449344-2777068634-10057-A-0-1.xs
古墓系列,http://txtest-xp2p.p2p.huya.com/src/1423782085-1423782085-6115097491705692160-2847687626-10057-A-0-1.xs
赛车系列,http://txtest-xp2p.p2p.huya.com/src/1354978385-1354978385-5819587850361896960-2710080226-10057-A-0-1.xs
警匪系列,http://txtest-xp2p.p2p.huya.com/src/1449581589-1449581589-6225905517638713344-3048959636-10057-A-0-1.xs
中国功夫,http://txtest-xp2p.p2p.huya.com/src/1448738174-1448738174-6222283077796757504-2847699112-10057-A-0-1.xs
喜剧系列,http://txtest-xp2p.p2p.huya.com/src/1524434089-1524434089-6547394557162553344-3048991634-10057-A-0-1.xs
动作大片,http://txtest-xp2p.p2p.huya.com/src/1524439840-1524439840-6547419257519472640-3049003136-10057-A-0-1.xs
玄幻系列,http://txtest-xp2p.p2p.huya.com/src/1423787882-1423787882-6115122389631107072-2847699220-10057-A-0-1.xs
古装武侠,http://txtest-xp2p.p2p.huya.com/src/1394575562-1394575562-5989656430590820352-2789274580-10057-A-0-1.xs
香港女神系列,http://txtest-xp2p.p2p.huya.com/src/1388451591-1388451591-5963354175424167936-2777026638-10057-A-0-1.xs
王晶导演,http://txtest-xp2p.p2p.huya.com/src/1524434111-1524434111-6547394651651833856-3048991678-10057-A-0-1.xs
历年贺岁大片,http://txtest-xp2p.p2p.huya.com/src/1524418118-1524418118-6547325962239868928-3048959692-10057-A-0-1.xs
金庸武侠系列,http://txtest-xp2p.p2p.huya.com/src/1394575551-1394575551-5989656383346180096-2789274558-10057-A-0-1.xs
凤凰电影,http://111.59.189.40:8445/tsfile/live/1022_1.m3u8

博斯运动二台,http://198.16.64.10:8278/bosisport2_twn/playlist.m3u8?tid=MDBD8051535180515351&ct=19225&tsum=807423eaabbb4cc188843b81db9cd79f
国家地理,http://198.16.64.10:8278/natgeohd_twn/playlist.m3u8?tid=ME0E9332119893321198&ct=19225&tsum=86a42e161c519916f498348c3c672787
国家地理野生,http://198.16.64.10:8278/natgeowild_twn/playlist.m3u8?tid=ME7E6122598161225981&ct=19225&tsum=c88897efa30d472128421acf3d4b62c8
探索频道,http://198.16.64.10:8278/discoveryhd_twn/playlist.m3u8?tid=ME6E2405719624057196&ct=19225&tsum=57a7c421c65e00c1b8f68f67c30141dc
爱尔达体育1台,http://198.16.64.10:8278/eltasport_twn/playlist.m3u8?tid=MB5B8133126081331260&ct=19225&tsum=5cb9d121709b107014d31cf856f3572e
爱尔达影剧台,http://198.16.64.10:8278/eltadrama_twn/playlist.m3u8?tid=MFDF4206608342066083&ct=19225&tsum=c6e03c86e60731f01aef66e1b32dcc84
美食星球,http://198.16.64.10:8278/foodplanet_twn/playlist.m3u8?tid=MCCC8639507586395075&ct=19226&tsum=69f5a90ff21aa5f4f58667bcdd713353
龙华偶像,http://198.16.64.10:8278/lunghuaidol_twn/playlist.m3u8?tid=ME6E1618913016189130&ct=19226&tsum=392d7662a2ff7080289fbe9646e8501d
龙华戏剧,http://198.16.64.10:8278/lunghuaxiju_twn/playlist.m3u8?tid=MBAB4709384347093843&ct=19226&tsum=a2a7258f8565588e10b8da2f26ba8039
星卫HD电影,http://198.16.64.10:8278/xingwei_movie/playlist.m3u8?tid=MBDB4578128345781283&ct=19225&tsum=f2041ec954c95b4a5fe29d7ccbfe5b60
